ticker,AGG,EEM,EFA,EWC,GLD,SPY
AGG,1.61551164805079e-05,7.166143892597998e-06,8.42417284315248e-06,7.4669976850418195e-06,1.0888761378963325e-05,4.539771488971121e-06
EEM,7.166143892597998e-06,0.00010374569351904532,7.066241682007997e-05,6.681643189588428e-05,3.195799740293985e-05,6.510571218702391e-05
EFA,8.42417284315248e-06,7.066241682007997e-05,8.157704451804594e-05,6.750896705641209e-05,2.507028423142935e-05,6.415992512177886e-05
EWC,7.4669976850418195e-06,6.681643189588428e-05,6.750896705641209e-05,9.020521906633927e-05,2.9842485424879997e-05,6.721725310611929e-05
GLD,1.0888761378963325e-05,3.195799740293985e-05,2.507028423142935e-05,2.9842485424879997e-05,0.00010502620423938211,7.760766667563128e-06
SPY,4.539771488971121e-06,6.510571218702391e-05,6.415992512177886e-05,6.721725310611929e-05,7.760766667563128e-06,9.305522923197575e-05
