ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
EFA,Developed international equities,2018-10,-0.08133567186354218,-0.01575953202483006,2
EWC,Canadian equities,2018-10,-0.07887442613101814,-0.011682222639246391,3
SPY,US equities,2018-10,-0.06910434200910709,-0.0025261046998918957,4
GLD,Gold,2018-10,0.021195459006820627,-0.011255579678756702,5
AGG,US aggregate bonds,2018-10,-0.006440753060340532,-0.0013768192498626968,6
EEM,Emerging-market equities,2018-11,0.049029999818411385,-0.020013979342838363,1
SPY,US equities,2018-11,0.018549514998456917,-0.00041854273005701435,2
AGG,US aggregate bonds,2018-11,0.007715685356226576,-0.00046756878925376946,3
EFA,Developed international equities,2018-11,0.0049633660859103035,-0.013687242213756024,4
EWC,Canadian equities,2018-11,0.004903810152467214,-0.010023619360075032,5
GLD,Gold,2018-11,0.003386877926411236,-0.009791333918239909,6
SPY,US equities,2018-12,-0.0880489683765413,-0.008384945061555587,1
EWC,Canadian equities,2018-12,-0.08555599007286863,-0.01689019851578354,2
EFA,Developed international equities,2018-12,-0.05349768227492846,-0.017306373128408062,3
GLD,Gold,2018-12,0.04942010516340556,-0.0044084758199085024,4
EEM,Emerging-market equities,2018-12,-0.034889022115710766,-0.021366255958554035,5
AGG,US aggregate bonds,2018-12,0.019811766938690356,0.0013760071860138784,6
EWC,Canadian equities,2019-01,0.12896496137635016,-0.004735601858105731,1
EEM,Emerging-market equities,2019-01,0.10343050786760477,-0.010966525639707467,2
SPY,US equities,2019-01,0.08006571123549122,-0.0010140570368016855,3
EFA,Developed international equities,2019-01,0.06634911366480134,-0.01033508256230728,4
GLD,Gold,2019-01,0.028865979381443196,-0.001635604553129194,5
AGG,US aggregate bonds,2019-01,0.00910864183015736,0.0020203934063591686,6
SPY,US equities,2019-02,0.03241563688384175,0.004717291704447245,1
EWC,Canadian equities,2019-02,0.029574936126679496,0.0035578470385519054,2
EFA,Developed international equities,2019-02,0.025366693740601853,-0.004192210276891613,3
EEM,Emerging-market equities,2019-02,-0.015313253766344181,-0.007327221092029758,4
GLD,Gold,2019-02,-0.006092200400801606,-0.0004132957808887783,5
AGG,US aggregate bonds,2019-02,-0.001137701275489622,0.0027661811994351324,6
AGG,US aggregate bonds,2019-03,0.021226057816064126,0.00397569966227899,1
SPY,US equities,2019-03,0.018101116166116427,0.008509920495111253,2
GLD,Gold,2019-03,-0.015968997757383585,-0.0022707129273374185,3
EEM,Emerging-market equities,2019-03,0.011310035500514903,-0.006835913831472408,4
EFA,Developed international equities,2019-03,0.009180253123575177,-0.002727503281388044,5
EWC,Canadian equities,2019-03,-0.007540574378144704,0.00361915169417798,6
SPY,US equities,2019-04,0.04085221348024959,0.01148358678092006,1
EWC,Canadian equities,2019-04,0.03292335897971421,0.004639248943453171,2
EFA,Developed international equities,2019-04,0.029293903715346348,-0.0015540405709349818,3
EEM,Emerging-market equities,2019-04,0.023532434431332794,-0.0025274632509052486,4
GLD,Gold,2019-04,-0.006638840969775628,-0.002028970615500114,5
AGG,US aggregate bonds,2019-04,-0.0020036637135026902,0.004592976448111648,6
EEM,Emerging-market equities,2019-05,-0.07329835751075187,-0.0064510901726011205,1
SPY,US equities,2019-05,-0.06377136293465635,0.004143550301530889,2
EFA,Developed international equities,2019-05,-0.05032955119633786,-0.004169615302520691,3
EWC,Canadian equities,2019-05,-0.042732024691685244,-0.0007288238714477276,4
AGG,US aggregate bonds,2019-05,0.019108256367118104,0.00563373771353833,5
GLD,Gold,2019-05,0.01757429911487529,0.0004321551935262587,6
GLD,Gold,2019-06,0.08002914813866613,0.010113704210699745,1
SPY,US equities,2019-06,0.06958640736323862,0.009463160150128344,2
EEM,Emerging-market equities,2019-06,0.06207723246087404,0.002510081442638377,3
EFA,Developed international equities,2019-06,0.0591164324442095,0.0020768281720588977,4
EWC,Canadian equities,2019-06,0.05674268680655725,0.004019073932603534,5
AGG,US aggregate bonds,2019-06,0.010986450360360722,0.006463782937503197,6
EEM,Emerging-market equities,2019-07,-0.026567228924669672,-0.0026463858703827856,1
EFA,Developed international equities,2019-07,-0.019473598028942996,-0.0019226503025146595,2
SPY,US equities,2019-07,0.015119618866398454,0.007635942535366221,3
EWC,Canadian equities,2019-07,-0.008036475426252965,0.0013032981115361404,4
AGG,US aggregate bonds,2019-07,0.001817879590265914,0.006639608819281865,5
GLD,Gold,2019-07,7.51501518427844e-05,0.011988209422582255,6
GLD,Gold,2019-08,0.07912313224336076,0.020363563728750644,1
EEM,Emerging-market equities,2019-08,-0.037826279038701394,-0.0026591835305672293,2
AGG,US aggregate bonds,2019-08,0.027827586431583118,0.008485233777643117,3
EFA,Developed international equities,2019-08,-0.019239797970758143,-0.0016628229720830057,4
SPY,US equities,2019-08,-0.016743682394918857,0.0035806140224487006,5
EWC,Canadian equities,2019-08,-0.007044842943483398,0.0018859301514670597,6
GLD,Gold,2019-09,-0.03394786086956525,0.018085187594108293,1
EFA,Developed international equities,2019-09,0.03164057987084723,0.00016950344256517572,2
EWC,Canadian equities,2019-09,0.025186462590878644,0.004042656865766159,3
SPY,US equities,2019-09,0.019458076458725992,0.004706661644774614,4
EEM,Emerging-market equities,2019-09,0.01691961837117839,-0.0007666053389363917,5
AGG,US aggregate bonds,2019-09,-0.006121233577162544,0.00849158108866424,6
EEM,Emerging-market equities,2019-10,0.04184010609906075,0.010020482766066596,1
EFA,Developed international equities,2019-10,0.03389052301304862,0.009771686348947742,2
GLD,Gold,2019-10,0.025635472947197924,0.0184551887558064,3
SPY,US equities,2019-10,0.022104795044625147,0.012307423065918968,4
EWC,Canadian equities,2019-10,-0.004152288905060586,0.010269501634595954,5
AGG,US aggregate bonds,2019-10,0.0020813606484011427,0.00920175723105938,6
SPY,US equities,2019-11,0.036198262040125107,0.013778151986057982,1
GLD,Gold,2019-11,-0.032085882360465945,0.015499125398566635,2
EWC,Canadian equities,2019-11,0.029534342313023654,0.012322045981308991,3
EFA,Developed international equities,2019-11,0.011272686957086497,0.010297463088212425,4
EEM,Emerging-market equities,2019-11,-0.0009393814131402056,0.005856367663437297,5
AGG,US aggregate bonds,2019-11,-0.00034562450872621664,0.00852998140897998,6
EEM,Emerging-market equities,2019-12,0.07730268312099087,0.015205676433162433,1
GLD,Gold,2019-12,0.03655877675497754,0.014427348031197634,2
EFA,Developed international equities,2019-12,0.029953875191486734,0.017251759543747025,3
SPY,US equities,2019-12,0.029055059075968614,0.02353682094043381,4
EWC,Canadian equities,2019-12,0.022346325440943282,0.021313905607459983,5
AGG,US aggregate bonds,2019-12,-0.00046752498296165346,0.00684004041550898,6
EEM,Emerging-market equities,2020-01,-0.061511023379886454,0.0014605488292048312,1
GLD,Gold,2020-01,0.04499655892217902,0.01577156299292562,2
EFA,Developed international equities,2020-01,-0.02822577745197785,0.009370518617348758,3
AGG,US aggregate bonds,2020-01,0.02029028180476078,0.007771843746725932,4
EWC,Canadian equities,2020-01,-0.00736019262480625,0.009953476107363616,5
SPY,US equities,2020-01,-0.0004038052415781257,0.01683102790067803,6
SPY,US equities,2020-02,-0.07916537064596285,0.007532610606527647,1
EFA,Developed international equities,2020-02,-0.07765260937274765,0.0007855766912363005,2
EWC,Canadian equities,2020-02,-0.07010431963708019,0.001646871460383642,3
EEM,Emerging-market equities,2020-02,-0.037758076856455935,-0.00040985309497114836,4
AGG,US aggregate bonds,2020-02,0.015846813826116524,0.009187220005193111,5
GLD,Gold,2020-02,-0.006361728971248537,0.01574910227872171,6
EWC,Canadian equities,2020-03,-0.20804637512723512,-0.015061945268707225,1
EEM,Emerging-market equities,2020-03,-0.1576999217201187,-0.014494016196690615,2
EFA,Developed international equities,2020-03,-0.14106678336105416,-0.011735009682482811,3
SPY,US equities,2020-03,-0.12487138200790937,-0.0043817642413078355,4
AGG,US aggregate bonds,2020-03,-0.005268167661616419,0.006979367882053065,5
GLD,Gold,2020-03,-0.00222403281358563,0.016894516024038204,6
