assumption,value,strategy,annual_return,annual_volatility,sharpe_ratio,maximum_drawdown,annual_turnover
lookback_months,24,Maximum Sharpe,0.123321242059651,0.1279680873232506,0.7292540195894247,-0.21967640749706951,0.744717330861995
lookback_months,24,Minimum variance,0.10562194039153039,0.10956118337196001,0.690225662630843,-0.1882689576384975,0.4805538958245196
lookback_months,24,Risk parity,0.09503990930841666,0.11718515452550116,0.5550183346326778,-0.20547448542170554,0.26249448439538514
lookback_months,24,Equal weight,0.11157008205077545,0.1423785530058852,0.5729098963901099,-0.2507088291220403,0.16925393883225207
lookback_months,24,Benchmark (SPY),0.1526995967616529,0.2084230541481491,0.5887045330140727,-0.3371726426699484,0.0
lookback_months,36,Maximum Sharpe,0.12295682302274957,0.11741005030349376,0.7917279890645228,-0.1838686043613481,0.8939189097244364
lookback_months,36,Minimum variance,0.10450453757956679,0.09428382208950675,0.790215499630861,-0.18640752111341585,0.377841398208934
lookback_months,36,Risk parity,0.09065183363536011,0.09758563271494684,0.6215242136363204,-0.19692795633590954,0.25128405263804576
lookback_months,36,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
lookback_months,36,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
lookback_months,60,Maximum Sharpe,0.21833512748463968,0.10571938676503584,1.7814625419954386,-0.08977388501065031,0.739956830233651
lookback_months,60,Minimum variance,0.1744917214200039,0.088253581331499,1.6372335177794386,-0.07400803410005019,0.4540708867211394
lookback_months,60,Risk parity,0.15909429833190858,0.08953289836484687,1.441864394983047,-0.07654880236727302,0.3744377515473061
lookback_months,60,Equal weight,0.17062449976020777,0.10524097864388168,1.336214291925754,-0.09134233657922686,0.3432800751879699
lookback_months,60,Benchmark (SPY),0.21132355995583008,0.1530837133053015,1.1844732273655307,-0.18755221227857455,0.0
maximum_weight,0.2,Maximum Sharpe,0.10686644258990685,0.1145716449513765,0.6709028453115821,-0.1978834088035375,0.5282030230339808
maximum_weight,0.2,Minimum variance,0.10677925591351745,0.10995067212265083,0.6983063807729123,-0.21297111208553332,0.38724411010723947
maximum_weight,0.2,Risk parity,0.10272732549217922,0.1104790503943213,0.6582906463497035,-0.21157619630366165,0.22053523992654736
maximum_weight,0.2,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
maximum_weight,0.2,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
