,annual_return,annual_volatility,sharpe_ratio,maximum_drawdown,daily_var_95
Optimized portfolio,0.12227330722219842,0.11714387427432453,0.787692124695442,-0.18335512266063492,0.011419920227267668
Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.01654482372262422
