date,Optimized portfolio,Benchmark (SPY)
2021-02-01,0.009677001906883975,0.016645769055306348
2021-02-02,0.001464238100569826,0.014140221480462678
2021-02-03,-8.30104694223357e-05,0.0007861859828686146
2021-02-04,-0.0031158547857434962,0.011365733307242998
2021-02-05,0.004629381553995921,0.003935954941474584
2021-02-08,0.00575973847102431,0.007221970262719424
2021-02-09,0.0019438015736731736,-0.0006659755765179298
2021-02-10,0.0015931423542821506,-0.0004355765474474138
2021-02-11,-0.0014864571596777025,0.0016150828560155261
2021-02-12,-2.151103326489788e-05,0.0049398033120806595
2021-02-16,-0.005722797536906827,-0.0008660998567698863
2021-02-17,-0.002765521545345005,0.00022946635665710424
2021-02-18,-0.002746128122982505,-0.004255954158250863
2021-02-19,0.0004623409945142842,-0.0017661171207533632
2021-02-22,-0.0014455319251602374,-0.007691517601789433
2021-02-23,0.00015201101057985401,0.0012145106901095826
2021-02-24,0.0025127765882286194,0.01101918518673295
2021-02-25,-0.01789400282581328,-0.02409579150327701
2021-02-26,-0.007760038429153079,-0.005152520355033108
2021-03-01,0.009243064673401049,0.024240024162624385
2021-03-02,-0.0014783167819489604,-0.0078031544047868495
2021-03-03,-0.008620262784405655,-0.013245849269272414
2021-03-04,-0.009759939560890673,-0.012374737257588864
2021-03-05,0.006613617224006808,0.018396486789100663
2021-03-08,-0.008249525318953248,-0.004978369456517195
2021-03-09,0.013892997994921878,0.014277376698147881
2021-03-10,0.003535648921991803,0.006224419395266523
2021-03-11,0.005792899000410459,0.010139252233292373
2021-03-12,-0.002961261964341328,0.0013469480003969192
2021-03-15,0.003695310447545571,0.005963376812232468
2021-03-16,0.00017554686647621457,-0.0012612173943736815
2021-03-17,0.0033226798342270254,0.003409888866495292
2021-03-18,-0.009084998077427329,-0.014549919393705868
2021-03-19,0.002082036240180609,-0.0018500848348940169
2021-03-22,0.0022272815888023626,0.007984988089988265
2021-03-23,-0.0056362308944429475,-0.007870916996259747
2021-03-24,-0.0022327476465817354,-0.005083378971371233
2021-03-25,0.0008533568327021546,0.005625266874982104
2021-03-26,0.007665256752199142,0.016115470132118004
2021-03-29,-0.004876136660771187,-0.0005053887092812959
2021-03-30,-0.0054201434832951215,-0.0026529534819002
2021-03-31,0.006318468550771424,0.004053586366755235
2021-04-01,0.009068604566232116,0.01079893548559352
2021-04-05,0.003978531404927026,0.014353016614669034
2021-04-06,0.003783456774285114,-0.0005905857860993846
2021-04-07,-0.0023312219911119647,0.0011571084086752226
2021-04-08,0.006202328370154879,0.00474692645578112
2021-04-09,-0.0011846397199153647,0.00727026348678006
2021-04-12,-0.0023667635581336656,0.00036453555132953674
2021-04-13,0.004292586618113069,0.002963686174348945
2021-04-14,-0.002096865687690021,-0.0034150557366779966
2021-04-15,0.010142136267345694,0.010742221339571145
2021-04-16,0.0022892522496802317,0.0033425270532148055
2021-04-19,-0.0029349248825522502,-0.004913119409793998
2021-04-20,-0.0015467696353307732,-0.007321410400011441
2021-04-21,0.006792969523111476,0.009462206689215158
2021-04-22,-0.0049811525143958315,-0.009133215647865622
2021-04-23,0.0034355152973346717,0.010842429972707679
2021-04-26,0.0013543434969760283,0.002087577913802985
2021-04-27,-0.001594622932045294,-0.00021540806357656095
2021-04-28,0.0017759866728190338,-0.0002875580126572297
2021-04-29,0.00028986392717778335,0.00637282871332312
2021-04-30,-0.0043807076936917535,-0.006570564085103148
2021-05-03,0.005108960017334243,0.002156684212890836
2021-05-04,-0.003850042412337262,-0.006169112745046945
2021-05-05,0.002495370445284784,0.0003125977085758347
2021-05-06,0.008310978667624844,0.007985671303521347
2021-05-07,0.005958131597444461,0.00727804853988312
2021-05-10,-0.0025326873334499244,-0.009902385085851617
2021-05-11,-0.0038783142721947493,-0.008924853034562696
2021-05-12,-0.011415835174129153,-0.0212452017733048
