strategy,annual_return,annual_volatility,sharpe_ratio,maximum_drawdown,daily_var_95,annual_turnover,optimizes
Maximum Sharpe,0.12295682302274957,0.11741005030349376,0.7917279890645228,-0.1838686043613481,0.011448449137352351,0.8939189097244364,True
Minimum variance,0.10450453757956679,0.09428382208950675,0.790215499630861,-0.18640752111341585,0.009115197535967403,0.377841398208934,True
Risk parity,0.09065183363536011,0.09758563271494684,0.6215242136363204,-0.19692795633590954,0.00953571837399542,0.25128405263804576,True
Inverse volatility,0.08043581855007487,0.09197166471636904,0.5483843171221663,-0.1944640456349429,0.00905617204141591,0.2812485385840301,False
Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.011561923978823049,0.20359531772575246,False
Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.01654482372262422,0.0,False
