date,ticker,asset_class,adjusted_close,volume
2018-01-18,EWC,Canadian equities,25.348120,4103200
2018-01-18,GLD,Gold,125.860001,6289300
2018-01-18,SPY,US equities,245.058197,100728000
2018-01-19,AGG,US aggregate bonds,84.209023,2933800
2018-01-19,EEM,Emerging-market equities,41.789825,60503700
2018-01-19,EFA,Developed international equities,57.287346,19622600
2018-01-19,EWC,Canadian equities,25.272652,1572600
2018-01-19,GLD,Gold,126.419998,8773800
2018-01-19,SPY,US equities,246.173157,140920100
2018-01-22,AGG,US aggregate bonds,84.177872,3983200
2018-01-22,EEM,Emerging-market equities,42.030087,49191200
2018-01-22,EFA,Developed international equities,57.581020,14992500
2018-01-22,EWC,Canadian equities,25.373274,1801400
2018-01-22,GLD,Gold,126.650002,4893500
2018-01-22,SPY,US equities,248.174789,91322400
2018-01-23,AGG,US aggregate bonds,84.380272,4775600
2018-01-23,EEM,Emerging-market equities,42.228935,61277300
2018-01-23,EFA,Developed international equities,57.766499,15575400
2018-01-23,EWC,Canadian equities,25.431971,2904500
2018-01-23,GLD,Gold,127.279999,6190400
2018-01-23,SPY,US equities,248.701477,97084700
2018-01-24,AGG,US aggregate bonds,84.294624,2362300
2018-01-24,EEM,Emerging-market equities,42.585194,63963100
2018-01-24,EFA,Developed international equities,57.866966,24383800
2018-01-24,EWC,Canadian equities,25.507437,1890700
2018-01-24,GLD,Gold,128.830002,11827600
2018-01-24,SPY,US equities,248.604843,134816100
2018-01-25,AGG,US aggregate bonds,84.512589,9851600
2018-01-25,EEM,Emerging-market equities,42.560333,61533700
2018-01-25,EFA,Developed international equities,57.642849,23272500
2018-01-25,EWC,Canadian equities,25.322964,3777500
2018-01-25,GLD,Gold,127.970001,15219700
2018-01-25,SPY,US equities,248.710220,84587300
2018-01-26,AGG,US aggregate bonds,84.356888,3808000
2018-01-26,EEM,Emerging-market equities,43.148579,80566200
2018-01-26,EFA,Developed international equities,58.152889,19192600
2018-01-26,EWC,Canadian equities,25.423588,2698100
2018-01-26,GLD,Gold,128.070007,7828700
2018-01-26,SPY,US equities,251.589722,107743100
2018-01-29,AGG,US aggregate bonds,84.209023,3974900
2018-01-29,EEM,Emerging-market equities,42.494053,58884200
2018-01-29,EFA,Developed international equities,57.619656,26906700
2018-01-29,EWC,Canadian equities,25.188801,1936700
2018-01-29,GLD,Gold,127.349998,6956400
2018-01-29,SPY,US equities,249.921677,90118300
2018-01-30,AGG,US aggregate bonds,84.076706,3659500
2018-01-30,EEM,Emerging-market equities,41.914108,87601400
2018-01-30,EFA,Developed international equities,57.140522,113986300
2018-01-30,EWC,Canadian equities,25.029488,2811300
2018-01-30,GLD,Gold,126.800003,9736100
2018-01-30,SPY,US equities,247.358292,131796400
2018-01-31,AGG,US aggregate bonds,84.146721,8066500
2018-01-31,EEM,Emerging-market equities,42.278645,96654200
2018-01-31,EFA,Developed international equities,57.063248,38465500
2018-01-31,EWC,Canadian equities,25.054638,2980000
2018-01-31,GLD,Gold,127.650002,13418900
2018-01-31,SPY,US equities,247.481171,108364800
2018-02-01,AGG,US aggregate bonds,83.883026,9678700
2018-02-01,EEM,Emerging-market equities,41.706974,72143800
2018-02-01,EFA,Developed international equities,57.225536,30876200
2018-02-01,EWC,Canadian equities,24.970791,2884500
2018-02-01,GLD,Gold,128.070007,10854600
2018-02-01,SPY,US equities,247.200195,90102500
2018-02-02,AGG,US aggregate bonds,83.633369,4779300
2018-02-02,EEM,Emerging-market equities,40.638203,116832800
2018-02-02,EFA,Developed international equities,56.066334,36590600
2018-02-02,EWC,Canadian equities,24.283213,8993700
2018-02-02,GLD,Gold,126.389999,16789200
2018-02-02,SPY,US equities,241.818710,173174800
2018-02-05,AGG,US aggregate bonds,83.968842,5991700
2018-02-05,EEM,Emerging-market equities,39.213173,151202100
2018-02-05,EFA,Developed international equities,53.717049,78968000
2018-02-05,EWC,Canadian equities,23.604019,7210500
2018-02-05,GLD,Gold,126.709999,13596300
2018-02-05,SPY,US equities,231.705231,294681800
2018-02-06,AGG,US aggregate bonds,83.727028,6031400
2018-02-06,EEM,Emerging-market equities,40.489067,183650300
2018-02-06,EFA,Developed international equities,54.775772,84302300
2018-02-06,EWC,Canadian equities,23.704641,10299500
2018-02-06,GLD,Gold,125.379997,17672500
2018-02-06,SPY,US equities,236.270325,355026800
2018-02-07,AGG,US aggregate bonds,83.539742,4115600
2018-02-07,EEM,Emerging-market equities,39.213173,156301200
2018-02-07,EFA,Developed international equities,54.196175,44411300
2018-02-07,EWC,Canadian equities,23.528553,3778800
2018-02-07,GLD,Gold,124.790001,8558500
2018-02-07,SPY,US equities,234.988602,167376100
2018-02-08,AGG,US aggregate bonds,83.399345,4761600
2018-02-08,EEM,Emerging-market equities,37.854424,163250200
2018-02-08,EFA,Developed international equities,52.781963,59223600
2018-02-08,EWC,Canadian equities,22.991909,5596800
2018-02-08,GLD,Gold,124.980003,7343600
2018-02-08,SPY,US equities,226.174454,246449500
2018-02-09,AGG,US aggregate bonds,83.290085,5926100
2018-02-09,EEM,Emerging-market equities,38.459225,153419800
2018-02-09,EFA,Developed international equities,53.006065,67466800
2018-02-09,EWC,Canadian equities,23.033836,10877400
2018-02-09,GLD,Gold,124.769997,14140700
2018-02-09,SPY,US equities,229.571930,283565300
2018-02-12,AGG,US aggregate bonds,83.313553,5421400
2018-02-12,EEM,Emerging-market equities,39.064041,104447700
2018-02-12,EFA,Developed international equities,53.817497,37528600
2018-02-12,EWC,Canadian equities,23.318926,9810400
2018-02-12,GLD,Gold,125.370003,6984900
2018-02-12,SPY,US equities,232.943024,143736000
2018-02-13,AGG,US aggregate bonds,83.336945,4256200
2018-02-13,EEM,Emerging-market equities,39.362309,55739700
2018-02-13,EFA,Developed international equities,53.655220,20574300
2018-02-13,EWC,Canadian equities,23.335697,5994600
2018-02-13,GLD,Gold,126.080002,5321300
2018-02-13,SPY,US equities,233.522507,81223600
2018-02-14,AGG,US aggregate bonds,83.056084,4317000
2018-02-14,EEM,Emerging-market equities,40.348228,96491500
2018-02-14,EFA,Developed international equities,54.605751,31475400
2018-02-14,EWC,Canadian equities,23.662710,2780000
2018-02-14,GLD,Gold,128.229996,16416400
2018-02-14,SPY,US equities,236.674194,120735700
2018-02-15,AGG,US aggregate bonds,83.157494,2878900
2018-02-15,EEM,Emerging-market equities,41.176731,95168100
2018-02-15,EFA,Developed international equities,54.945778,31600600
2018-02-15,EWC,Canadian equities,23.813644,2313200
2018-02-15,GLD,Gold,128.380005,7276500
2018-02-15,SPY,US equities,239.694153,111200300
2018-02-16,AGG,US aggregate bonds,83.321335,3648900
2018-02-16,EEM,Emerging-market equities,41.044163,70876400
2018-02-16,EFA,Developed international equities,55.193081,23606400
2018-02-16,EWC,Canadian equities,23.704641,4849500
2018-02-16,GLD,Gold,127.959999,7956900
2018-02-16,SPY,US equities,239.764328,160420100
2018-02-20,AGG,US aggregate bonds,83.235535,2907400
2018-02-20,EEM,Emerging-market equities,40.480789,78660300
2018-02-20,EFA,Developed international equities,54.675304,25286900
2018-02-20,EWC,Canadian equities,23.578863,5163100
2018-02-20,GLD,Gold,126.239998,11148700
2018-02-20,SPY,US equities,238.263199,86369700
2018-02-21,AGG,US aggregate bonds,82.970253,3223800
2018-02-21,EEM,Emerging-market equities,40.447655,66591900
2018-02-21,EFA,Developed international equities,54.412556,30247700
2018-02-21,EWC,Canadian equities,23.612410,4276600
2018-02-21,GLD,Gold,125.660004,7908800
2018-02-21,SPY,US equities,237.077988,98883700
2018-02-22,AGG,US aggregate bonds,82.978058,2485400
2018-02-22,EEM,Emerging-market equities,40.472500,62436300
2018-02-22,EFA,Developed international equities,54.698490,20537000
2018-02-22,EWC,Canadian equities,23.562094,4802100
2018-02-22,GLD,Gold,126.300003,5346300
2018-02-22,SPY,US equities,237.385239,110511300
2018-02-23,AGG,US aggregate bonds,83.188705,2398100
2018-02-23,EEM,Emerging-market equities,41.193310,43623300
2018-02-23,EFA,Developed international equities,55.131260,30298500
2018-02-23,EWC,Canadian equities,23.863955,4535300
2018-02-23,GLD,Gold,126.139999,4239700
2018-02-23,SPY,US equities,241.169083,92766400
2018-02-26,AGG,US aggregate bonds,83.251099,4617300
2018-02-26,EEM,Emerging-market equities,41.574421,51742600
2018-02-26,EFA,Developed international equities,55.649036,21007200
2018-02-26,EWC,Canadian equities,23.981348,2685400
2018-02-26,GLD,Gold,126.449997,3194300
2018-02-26,SPY,US equities,243.969559,86491400
2018-02-27,AGG,US aggregate bonds,83.071693,5704700
2018-02-27,EEM,Emerging-market equities,40.364796,94671000
2018-02-27,EFA,Developed international equities,54.822144,22449300
2018-02-27,EWC,Canadian equities,23.754951,4312100
2018-02-27,GLD,Gold,125.129997,7082300
2018-02-27,SPY,US equities,240.923248,99099200
2018-02-28,AGG,US aggregate bonds,83.297920,9614100
2018-02-28,EEM,Emerging-market equities,39.784843,102169900
2018-02-28,EFA,Developed international equities,54.304367,31642500
2018-02-28,EWC,Canadian equities,23.302155,4597400
2018-02-28,GLD,Gold,125.000000,4534900
2018-02-28,SPY,US equities,238.482620,121907800
2018-03-01,AGG,US aggregate bonds,83.372208,7335500
2018-03-01,EEM,Emerging-market equities,39.710274,112694400
2018-03-01,EFA,Developed international equities,53.392464,51282100
2018-03-01,EWC,Canadian equities,23.151226,5383900
2018-03-01,GLD,Gold,124.720001,12910100
2018-03-01,SPY,US equities,235.014999,176855100
2018-03-02,AGG,US aggregate bonds,83.239250,3717300
2018-03-02,EEM,Emerging-market equities,39.875980,72756200
2018-03-02,EFA,Developed international equities,53.647480,35512000
2018-03-02,EWC,Canadian equities,23.042219,2848400
2018-03-02,GLD,Gold,125.389999,9994300
2018-03-02,SPY,US equities,236.226425,139083200
2018-03-05,AGG,US aggregate bonds,83.192398,3307200
2018-03-05,EEM,Emerging-market equities,39.933968,55905400
2018-03-05,EFA,Developed international equities,53.933418,18968500
2018-03-05,EWC,Canadian equities,23.109301,3271100
2018-03-05,GLD,Gold,125.180000,5778300
2018-03-05,SPY,US equities,238.956680,97307400
2018-03-06,AGG,US aggregate bonds,83.208015,1932100
2018-03-06,EEM,Emerging-market equities,40.306805,57199200
2018-03-06,EFA,Developed international equities,54.250267,20996900
2018-03-06,EWC,Canadian equities,23.260233,17124200
2018-03-06,GLD,Gold,126.529999,8676800
2018-03-06,SPY,US equities,239.562454,79213200
2018-03-07,AGG,US aggregate bonds,83.192398,3448700
2018-03-07,EEM,Emerging-market equities,40.348228,46554800
2018-03-07,EFA,Developed international equities,54.234814,14492500
2018-03-07,EWC,Canadian equities,23.167995,3597900
2018-03-07,GLD,Gold,125.720001,5158700
2018-03-07,SPY,US equities,239.474716,87063500
2018-03-08,AGG,US aggregate bonds,83.325317,2396200
2018-03-08,EEM,Emerging-market equities,40.356510,46733900
2018-03-08,EFA,Developed international equities,54.350735,14883300
2018-03-08,EWC,Canadian equities,23.260233,6043600
2018-03-08,GLD,Gold,125.419998,3474900
2018-03-08,SPY,US equities,240.633514,66901200
2018-03-09,AGG,US aggregate bonds,83.168938,3669400
2018-03-09,EEM,Emerging-market equities,41.218163,58818700
2018-03-09,EFA,Developed international equities,54.698490,17319800
2018-03-09,EWC,Canadian equities,23.495012,3319300
2018-03-09,GLD,Gold,125.540001,5066800
2018-03-09,SPY,US equities,244.821060,113625300
2018-03-12,AGG,US aggregate bonds,83.215836,4149500
2018-03-12,EEM,Emerging-market equities,41.317574,52944500
2018-03-12,EFA,Developed international equities,54.760319,12801300
2018-03-12,EWC,Canadian equities,23.478247,3189900
2018-03-12,GLD,Gold,125.540001,2884300
2018-03-12,SPY,US equities,244.513870,71924800
2018-03-13,AGG,US aggregate bonds,83.325317,2727500
2018-03-13,EEM,Emerging-market equities,40.944744,60376000
2018-03-13,EFA,Developed international equities,54.397114,19138100
2018-03-13,EWC,Canadian equities,23.285385,4934000
2018-03-13,GLD,Gold,125.779999,4798300
2018-03-13,SPY,US equities,242.933685,91968900
2018-03-14,AGG,US aggregate bonds,83.466011,3126400
2018-03-14,EEM,Emerging-market equities,41.011028,51067200
2018-03-14,EFA,Developed international equities,54.528484,13670800
2018-03-14,EWC,Canadian equities,23.360855,3564600
2018-03-14,GLD,Gold,125.699997,3777000
2018-03-14,SPY,US equities,241.686966,105895100
2018-03-15,AGG,US aggregate bonds,83.473816,3045500
2018-03-15,EEM,Emerging-market equities,40.861900,65778900
2018-03-15,EFA,Developed international equities,54.497562,21712300
2018-03-15,EWC,Canadian equities,23.235075,3095400
2018-03-15,GLD,Gold,124.900002,6130100
2018-03-15,SPY,US equities,241.423721,83433000
2018-03-16,AGG,US aggregate bonds,83.426918,2552700
2018-03-16,EEM,Emerging-market equities,40.770767,66155800
2018-03-16,EFA,Developed international equities,54.458923,16119900
2018-03-16,EWC,Canadian equities,23.201536,2379200
2018-03-16,GLD,Gold,124.599998,7402200
2018-03-16,SPY,US equities,241.685501,100343700
2018-03-19,AGG,US aggregate bonds,83.340912,2263200
2018-03-19,EEM,Emerging-market equities,40.331657,65394200
2018-03-19,EFA,Developed international equities,54.018433,24159700
2018-03-19,EWC,Canadian equities,23.058989,3464500
2018-03-19,GLD,Gold,124.870003,4335400
2018-03-19,SPY,US equities,238.415359,109208400
2018-03-20,AGG,US aggregate bonds,83.208015,3000700
2018-03-20,EEM,Emerging-market equities,40.779057,60101700
2018-03-20,EFA,Developed international equities,54.010700,20578800
2018-03-20,EWC,Canadian equities,23.142839,5868300
2018-03-20,GLD,Gold,124.309998,3399400
2018-03-20,SPY,US equities,238.820831,59757300
2018-03-21,AGG,US aggregate bonds,83.200195,2994400
2018-03-21,EEM,Emerging-market equities,41.019314,78575100
2018-03-21,EFA,Developed international equities,54.095711,17479200
2018-03-21,EWC,Canadian equities,23.495012,3167500
2018-03-21,GLD,Gold,126.480003,12532000
2018-03-21,SPY,US equities,238.362503,78709600
2018-03-22,AGG,US aggregate bonds,83.356560,3334400
2018-03-22,EEM,Emerging-market equities,39.652279,87622700
2018-03-22,EFA,Developed international equities,53.091084,42084300
2018-03-22,EWC,Canadian equities,23.025450,3503700
2018-03-22,GLD,Gold,125.980003,5298700
2018-03-22,SPY,US equities,232.404083,148785900
2018-03-23,AGG,US aggregate bonds,83.356560,3618700
2018-03-23,EEM,Emerging-market equities,38.848625,82908800
2018-03-23,EFA,Developed international equities,52.503754,44983200
2018-03-23,EWC,Canadian equities,22.799055,4612200
2018-03-23,GLD,Gold,127.610001,12025900
2018-03-23,SPY,US equities,227.450516,183534800
2018-03-26,AGG,US aggregate bonds,83.325317,4546500
2018-03-26,EEM,Emerging-market equities,40.107960,73320800
2018-03-26,EFA,Developed international equities,53.446575,31279000
2018-03-26,EWC,Canadian equities,22.958366,2819200
2018-03-26,GLD,Gold,128.279999,6169800
2018-03-26,SPY,US equities,233.673325,141956100
2018-03-27,AGG,US aggregate bonds,83.567665,4537700
2018-03-27,EEM,Emerging-market equities,39.378872,84232100
2018-03-27,EFA,Developed international equities,53.052437,36493900
2018-03-27,EWC,Canadian equities,22.790670,3175800
2018-03-27,GLD,Gold,127.489998,6180700
2018-03-27,SPY,US equities,229.698120,129941400
2018-03-28,AGG,US aggregate bonds,83.614555,5617200
2018-03-28,EEM,Emerging-market equities,39.180027,78140800
2018-03-28,EFA,Developed international equities,53.361549,35737600
2018-03-28,EWC,Canadian equities,22.706814,2593000
2018-03-28,GLD,Gold,125.730003,10254900
2018-03-28,SPY,US equities,229.019409,146452300
2018-03-29,AGG,US aggregate bonds,83.857002,8300000
2018-03-29,EEM,Emerging-market equities,40.000252,82685500
2018-03-29,EFA,Developed international equities,53.848415,34745000
2018-03-29,EWC,Canadian equities,23.109301,4286700
2018-03-29,GLD,Gold,125.790001,7102000
2018-03-29,SPY,US equities,231.945709,111601600
2018-04-02,AGG,US aggregate bonds,83.773140,7280300
2018-04-02,EEM,Emerging-market equities,39.279449,72405700
2018-04-02,EFA,Developed international equities,53.106533,52362500
2018-04-02,EWC,Canadian equities,22.782282,3360800
2018-04-02,GLD,Gold,127.260002,11421100
2018-04-02,SPY,US equities,226.939301,186286300
2018-04-03,AGG,US aggregate bonds,83.679115,9916100
2018-04-03,EEM,Emerging-market equities,39.668850,52874500
2018-04-03,EFA,Developed international equities,53.446575,30413600
2018-04-03,EWC,Canadian equities,22.924829,3611100
2018-04-03,GLD,Gold,126.300003,6083700
2018-04-03,SPY,US equities,229.848007,119956900
2018-04-04,AGG,US aggregate bonds,83.710442,6200900
2018-04-04,EEM,Emerging-market equities,39.685421,68352400
2018-04-04,EFA,Developed international equities,53.632027,26041500
2018-04-04,EWC,Canadian equities,23.000294,5117200
2018-04-04,GLD,Gold,126.449997,7488300
2018-04-04,SPY,US equities,232.307159,123715300
2018-04-05,AGG,US aggregate bonds,83.592941,2592500
2018-04-05,EEM,Emerging-market equities,39.784843,48247700
2018-04-05,EFA,Developed international equities,53.987518,22625800
2018-04-05,EWC,Canadian equities,23.310543,1767000
2018-04-05,GLD,Gold,125.800003,5333000
2018-04-05,SPY,US equities,234.140457,82652600
2018-04-06,AGG,US aggregate bonds,83.780983,2814800
2018-04-06,EEM,Emerging-market equities,39.006054,76156700
2018-04-06,EFA,Developed international equities,53.632027,24999600
2018-04-06,EWC,Canadian equities,23.058989,2515100
2018-04-06,GLD,Gold,126.389999,6121200
2018-04-06,SPY,US equities,228.922455,179521200
2018-04-09,AGG,US aggregate bonds,83.851494,3746500
2018-04-09,EEM,Emerging-market equities,39.047482,55352700
